Example #,TTL_ZPT Text (Original),Segmentation
Example 127,ˈxtxā’,xtxā’
Example 128,kēd.gú.ˈdîxh.dyan,kēd=gu-dixh=di=an
Example 129,ˈxtxā’,xtxā’
Example 130,ˈnnâ̰y,nna̰y
Example 131,ˈnna̰y.pkā.zá,nna̰y=pkā=zá
Example 132,gu.ˈdi.xhan,gu-dixh=an
Example 133,ˈxtxā’,xtxā’
Example 134,á.dí.ˈnna̰y,ádí=nna̰y
Example 135,ˈgwâ’,gu-â’
Example 136,ˈBak,Bak
Example 137,*te.ˈnna̰y,te=nna̰y
Example 138,ˈsrū,srū
Example 139,ˈnna̰y,nna̰y
Example 140,gu.ˈkǎy,gukǎy
Example 141,ˈtæ̰,tæ̰
Example 142,gwe.ˈstæ̌n,gu-æstǣ=an
Example 143,ga.ˈdǎw,gadǎw
Example 144,ˈtæ̰,tæ̰
Example 145,ˈyu’,yu’
Example 146,ba.ˈzwa̰n,ba-zu=an
Example 147,ˈyag,yag
Example 148,ga.ˈlǎy,galǎy
Example 149,le.ˈllæ̂’,lellæ̂
Example 150,ba.ˈzwa̰n,ba-zu=an
Example 151,ˈyag,yag
Example 152,te.bæ.ˈkwæ’n,te=bækw-æ’ny
Example 153,ˈxtḛ̂n,xtḛ̂n
Example 154,dxa.ˈpæ’n.zá.kī,dxapæ’n=zá=kī
Example 155,ˈkwǎ’n,kwā’=an
Example 156,te.ˈdæts,te=dæts
Example 157,ˈyu’,yu’
Example 158,ˈdæts,dæts
Example 159,te.ˈyu’,te=yu’
Example 160,ˈtrâly,trâly
Example 161,ˈxtḛ̂n,xtḛ̂n
Example 162,tyú.ˈNély,tiw=Nély
Example 163,ˈtrâly,trâly
Example 164,ˈxtḛ̂.nyān,xtḛ̂ny=ān
Example 165,ˈxkû’n,x-gû’n
Example 166,ˈBǽd,Bǽd
Example 167,xhgu.ˈliz,x-guliz
Example 168,ˈBǽd,Bǽd
Example 169,xhnan.ˈtyǽ,x-nantyǽ
Example 170,ˈBǽd,Bǽd
Example 171,ˈgû’n,gû’n
Example 172,ˈxtḛ̂n,xtḛ̂ny
Example 173,ˈBǽd,Bǽd
Example 174,ˈgû’n,gû’n
Example 175,ˈxtḛ̂.nyan,xtḛ̂ny=an
Example 176,ˈgû’n,gû’n
Example 177,ˈngǐts,ngǐts
Example 178,ˈxtḛ̂n,xtḛ̂ny
Example 179,ˈbēnny,benny
Example 180,ná.ˈrúy.kī,narúy=kī
Example 181,zu.ˈzu,zu-zu
Example 182,ˈJwáyn,Jwáyn
Example 183,te.ˈyag,te=yag
Example 184,"nna’.ˈdxi,",nna’dxi
Example 185,ˈBǽd,Bǽd
Example 186,ˈnna’,nna’
Example 187,ˈgwæ’.zá,gu-æ’=zá
Example 188,ˈJwáyn,Jwáyn
Example 189,mas.ˈkály,maskály
Example 190,ˈgwæ’.zá.nēn,gu-æ’=zá=an=ēn
Example 191,gwǣ’.ˈnǣ,gu-æ’-nǣ
Example 192,ˈtæ̰̂,tæ̰
Example 193,ˈJwáyn,Jwáyn
Example 194,ˈBǽd,Bǽd
Example 195,mas.ˈkály,maskály
Example 196,ˈgwæ’.zá,gu-æ’=zá
Example 197,ˈJwáyn,Jwáyn
Example 198,mas.ˈkály,maskály
Example 199,ˈnna̰y,nna̰y
Example 200,ˈstúyx,s´=tuy=x
Example 201,ˈgwæ’.zá,gu-æ’=zá
Example 202,ˈJwáyn,Jwáyn
Example 203,mas.ˈkály,maskály
Example 204,ˈnna̰y,nna̰y
Example 205,ˈstúy,s´=tuy
Example 206,ˈæ̌?,æ̌
Example 207,ˈNī.sēn,nis=ēn
Example 208,ká.ˈyæ’,káy-æ’
Example 209,ˈJwáyn,Jwáyn
Example 210,ˈlā̰,lā̰
Example 211,ˈJwáyn,Jwáyn
Example 212,ká.ˈyæ’,káy-æ’
Example 213,mas.ˈkály,maskály
Example 214,xī.gú.ˈzyæ̰̂n?,xī=gu-zḭ=an
Example 215,tū.gú.ˈzḭ̂,tū=gu-zḭ
Example 216,ˈndǣ?,ndǣ
Example 217,txi.á.kēd.rú.ˈrāp.dyán,txi=á=kēd=rú=r-āp=di=án
Example 218,ˈmědy,mědy
Example 219,gūl.ˈtxæ̂!,gūl=tx´-æ
Example 220,gūl.ˈtû’!,gūl=tû’
Example 221,ˈkwæ’,kwæ’
Example 222,ˈyu’,yu’
Example 223,ká.ˈbe.kyan,ká-beky=an
Example 224,ko.ˈlór,kolór
Example 225,ˈnyæ’,nyæ’
Example 226,yag.ˈxhǐly,yagxhǐly
Example 227,ˈxtḛ̂n,xtḛ̂ny
Example 228,gu.dū.ˈbḛ̄w,gudūbḛ̄w
Example 229,ˈgyæ̰.kán,gyæ̰=kán
Example 230,txi.ba.ˈgyæ̰̌m,txi=ba-gyǣ̰=um
Example 231,næz.ˈgyâ̰,næz=gyâ̰
Example 232,lá.ˈgû’n,lá=gû’n
Example 233,gu.lá.ˈdxǐb,gulá=dxǐb
Example 234,ˈgû’?,g-u’
Example 235,ˈdbénny,d´=bēnny
Example 236,ní.á.ba.ˈzûyn,ni=á=ba-zuny
Example 237,ˈru’,ru’
Example 238,ˈgḛw,gḛw
Example 239,kūd.bá.ˈdxé.lēn,kūd=ba-dxēl=ēn
Example 240,gu.ˈlæ̌,gu-læ̌
Example 241,ˈlady,clothes
Example 242,ló.gu.ˈbidx,low=gubidx
Example 243,té.ga.ˈbî.zēn,té=ga´-biz=ēn
Example 244,kom.á.ˈzyæ̰̂n,kom=á=z´-yæ=ani
Example 245,txi.ba.ˈzû.nyan,txi=ba-zuny=anj
Example 246,bǣll.ˈgyáb,bǣll=g´-yab
Example 247,nis.ˈgyæ,nisgyæ
Example 248,gāxh.kēd.ˈtxǽ.dyan,gāxh=kēd=tx´-æ=di=an
Example 249,bǣll.ˈxhí,bǣll=xhí
Example 250,"ˈtxô’n,",tx´-ô’=un
Example 251,ˈzak.zá,z-ak=zá
Example 252,Gu.ˈdīn,gu-dīny
Example 253,ˈBǽd,Bǽd
Example 254,ˈgû’n,gû’n
Example 255,Gu.ˈdīn,gu-dīny
Example 256,ˈgû’n,gû’n
Example 257,ˈBǽd,Bǽd
Example 258,gu.ˈdī.nyúm,gu-dīny=um
Example 259,ˈlǎ̰n,lǎ̰n
Example 260,ˈlā̰.nén,lǎ̰n=ēn
Example 261,gú.ˈdí.nyán,gu-dīny=an
Example 262,ˈlǎ̰m,lǎ̰m
Example 263,ˈba̰.nyan,ba̰ny=an
Example 264,get.ˈgṵ̄,getgṵ̄
Example 265,gwé.ˈnæ̌n,gu-enǣ=an
Example 266,ri.ˈda’,ri-da’
Example 267,ˈnis,nis
Example 268,ri.ˈdxā’,ri-dxā’
Example 269,ˈnîs,nis
Example 270,ri.ˈxhṵb,ri-xhṵb
Example 271,ˈJwáyn,Jwáyn
Example 272,ba.ˈyā’,ba-yā’
Example 273,ˈtæ̰̂,tæ̰
Example 274,ˈJwáyn,Jwáyn
Example 275,ˈri,ri
Example 276,ˈtxî’n,txî’n
Example 277,ˈyuxh,yuxh
Example 278,ˈkwæ’,kwæ’
Example 279,ˈyū’kī,yu’=kī
Example 280,ˈgwæ’,gu-æ’
Example 281,ˈBǽd,Bǽd
Example 282,ˈnis,nis
Example 283,ba.ˈsyā,ba-syā
Example 284,ˈBǽd,Bǽd
Example 285,ˈlæ’n,læ’n
Example 286,gu.ˈrrâly,gurrâly
Example 287,ba.ˈzḭ,b-azḭ
Example 288,ˈBǽd,Bǽd
Example 289,te.ˈllápy,te=llápy
Example 290,ba.ˈsyak,ba-syak
Example 291,rru.ˈmédy.kī,rrumédy=kī
Example 292,ˈlǎ̰n,lǎ̰n
Example 293,ba.ˈdæ̰d,ba-dæ̰d
Example 294,ˈBǽd,Bǽd
Example 295,ˈzut,zut
Example 296,ˈbækw,bækw
Example 297,gu.ˈleky,gu-leky
Example 298,ˈBǽd,Bǽd
Example 299,ba.ˈda̰w,bada̰w
Example 300,ˈlæ’n,læ’n
Example 301,ˈgixy,gixy
Example 302,bi.ˈdxiby,bi-dxiby
Example 303,ˈBǽd,Bǽd
Example 304,gu.ˈnnǎn,gu-nnā=an
Example 305,ˈgû’n,gû’n
Example 306,ˈnna̰y,nna̰y
Example 307,gu.ˈdi.xhan,gu-dixh=an
Example 308,ˈxtxā’,xtxā’
Example 309,ká.ˈyā’,ká-yā’
Example 310,ˈJwáyn,Jwáyn
Example 311,ká.ˈta’w,ká-ta’w
Example 312,ˈNdǔn,Ndǔn
Example 313,ˈgæt,gæt
Example 314,ˈu.nyan,r-uny=an
Example 315,ˈrṵ̂.na,r-ṵ̂na
Example 316,ˈbā.nyá,bǎny=a̰
Example 317,ba.ˈka̰n,b-aka=an
Example 318,ˈstúy,s´=tuy
Example 319,ˈrū.nyá,r-ǔny=a̰
Example 320,ru.ˈtxī.txú,ru-txītx=ṵ
Example 321,ˈlǎ̰n,lǎ̰n
Example 322,ˈu.nyan,r-uny=an
Example 323,ri.ˈbixy,ri-bixy
Example 324,ˈgḭb,gḭb
Example 325,rū.ˈgyǣ̰,ru-gyǣ̰
Example 326,ˈlâ.wan,low=an
Example 327,lo.ˈnis,low=nis
Example 328,rū.ˈgyæ̰̌n,ru-gyǣ̰=an
Example 329,ˈlâ.wan,low=an
Example 330,lo.ˈnis,low=nis
Example 331,ru.ˈgyǣ̰.tū,ru-gyǣ̰=tū
Example 332,ˈlôw.tū,low=tū
Example 333,ló.ˈbídr,lo=bídr
Example 334,gu.ˈdǣ̰z,gu-dǣ̰z
Example 335,ˈsa’.dán,sa’=dán
Example 336,gu.ˈdǣ̰z.dán,gu-dǣ̰z=dán
Example 337,ˈsa’.dán,sa’=dán
Example 338,ká.yā’.ˈnǽ,ká-yā’-nǣ
Example 339,ˈJwáyn,Jwáyn
Example 340,ˈNdǔn,Ndǔn
Example 341,ká.yā’.ˈnǽ,ká-yā’-nǣ
Example 342,ˈsâ’.dán,sa’=dán
Example 343,ká.yā’.ˈnǽ.dán,ká-yā’-nǣ=dán
Example 344,ˈsa’.dán,sa’=dán
Example 345,lá.ˈgwæ,lá=gu-æ
Example 346,ˈBǽd,Bǽd
Example 347,ˈxkwíly,xkwíly
Example 348,nna’.ˈdxi?,nna’dxi
Example 349,*lá.ˈtxḭ̂w,lá=tx´-æ=ṵ
Example 350,ˈLlwâ’?,Llwâ’
Example 351,*lá.ˈnḭ̂w,lá=ni´-æ=ṵ
Example 352,ˈLlwâ’?,Llwâ’?
Example 353,lá.ˈzḛw,lá=z-æ=ṵ
Example 354,ˈLlwâ’?,Llwa’
Example 355,lá.ˈnā,lá=nā
Example 356,ˈnḭ̂w,ni´-æ=ṵ
Example 357,ˈLlwâ’?,Llwâ’
Example 358,tū.ˈkwá’.dān,tū=kwā’=dān
Example 359,___lá?,=lá
Example 360,xī.bí.ˈxhí’___,xī=bi-xhī’
Example 361,ˈræ̌n?,ræ̌n
Example 362,xá.ˈrak,xá=r-ak
Example 363,ˈsya̰b.ræ̂’?,sya̰b=ræ̂’
Example 364,gǔk.ˈguk,gǔk=guk
Example 365,ˈsya̰b.ræ̂’?,sya̰b=ræ̂’
Example 366,Xíxhté.ˈgwḛw?,xíxh=té=gu-æ=ṵ
Example 367,bǽll.ˈdxî,bǽll=dxi
Example 368,ˈtxḭ̂w?,tx´-æ=ṵ
Example 369,gūz.ˈkâty,gūzkâty
Example 370,ˈtxḭ̂w?,tx´-æ=ṵ
Example 371,gu.dixh.ˈlæ’,gu-dixhlæ’
Example 372,ˈJwáyn,Jwáyn
Example 373,te.ˈkwæ̌nt,te=kwæ̌nt
Example 374,loˈBǽd,lo=Bǽd
Example 375,tū.ˈlô,tū=lo
Example 376,gu.dixh.ˈlæ’,gu-dixhlæ’
Example 377,ˈJwáyn,Jwáyn
Example 378,te.ˈkwæ̌nt?,te=kwæ̌nt
Example 379,tū.gu.dixh.ˈlæ’,tū=gu-dixhlæ’
Example 380,ˈJwáyn,Jwáyn
Example 381,te.ˈkwæ̌nt,te=kwæ̌nt
Example 382,ˈla.wen?,low=en
Example 383,tū.ˈxkû’n,tū=x-gû’n
Example 384,ˈgǔty?,gu-aty
Example 385,ˈguty,gu-aty
Example 386,ˈxkû’n,x-gû’n
Example 387,ˈJwáyn,Jwáyn
Example 388,ˈræ’n,r-æ’=an
Example 389,ˈnis,nis
Example 390,kēd.ˈræ̂’.dyan,kēd=r-æ’=di=an
Example 391,ˈnis,nis
Example 392,ˈgwæ’n,gu-æ’=an
Example 393,ˈnis,nis
Example 394,kēd.ˈgwæ̂’.dyan,kēd=gu-æ’=di=an
Example 395,ˈnis,nis
Example 396,ká.ˈyæ’n,káy-æ’=an
Example 397,ˈnis,nis
Example 398,kēd.ká.ˈyæ’.dyan,kēd=káy-æ’=di=an
Example 399,ˈnis,nis
Example 400,kēd.ri.ˈka̰z.di,kēd=ri-ka̰z=di
Example 401,ˈJwáyn,Jwáyn
Example 402,ˈgæ̂’n,g´-æ’=an
Example 403,/,/
Example 404,ˈnyæ̂’n,ni´-æ’=an
Example 405,ˈnis,nis
Example 406,ˈzæ’n,z-æ’=an
Example 407,ˈnis,nis
Example 408,*kēd.ˈzæ’.dyan,kēd=z-æ’=di=an
Example 409,ˈnis,nis
Example 410,kēd.ˈgæ̂’.dyan,kēd=g´-æ’=di=an
Example 411,ˈnis,nis
Example 412,kēd.ˈnyæ̂’.dyan,kēd=ni´-æ’=di=an
Example 413,ˈnis,nis
Example 414,ˈgu’,g-u’
Example 415,ˈnis,nis
Example 416,ˈnna̰y,nna̰y
Example 417,kēd.ˈgû’.di,kēd=g-u’=di
Example 418,ˈnis,nis
Example 419,ˈnna̰y,nna̰y
Example 420,kēd.ˈtúdí,kēd=tū=di
Example 421,kē.ˈtxí.dí,kēd=xī=di
Example 422,kēd.ˈká.lídí,kēd=kālí=di
Example 423,Kēd.tú.ˈbǽ̰d.dí,kēd=tū=b-ǣ̰d=di
Example 424,Gád.tú.ˈgǽ̰d.dí,gád=tū=g´-ǣ̰d=di
Example 425,Kē.txī.ˈgæ̂t.di,kēd=xī=gæt=di
Example 426,ba.ˈdæ̰̂d.dān,ba-dæ̰d=dān
Example 427,lǎ̰n,lǎ̰n
Example 428,bi.ˈdxḭ.byu,bi-dxiby=ṵ
Example 429,gu.ˈnnǒw,gu-nnā=ṵ
Example 430,ˈlǎ̰m,lǎ̰m
Example 431,ˈræ̰n,r-æ=an
Example 432,ru.ˈlṵ.yan,ru-lṵy=an
Example 433,dbí.ˈnī’n.rǣ,d´=bini’n=rǣ
Example 434,re.ˈlṵ.yan,r-æ-lṵy=an
Example 435,dbí.ˈnī’n.rǣ,d´=bini’n=rǣ
Example 436,bi.ˈgē.llyá,bi-gělly=a̰
Example 437,ba.ˈkḭ̂.nya,ba-kḭ̂ny=a̰
Example 438,ˈgæt,gæt
Example 439,ba.ˈkwḭ.zan,ba-kwḭz=an
Example 440,ˈnīs.kī,nis=kī
Example 441,ˈgwæ’n,gu-æ’=an
Example 442,gu.ˈbiz,gu-biz
Example 443,ˈnīs.kī,nīs=kī
Example 444,ˈgwæ’n,gu-æ’=an
Example 445,ru.ˈta’.wan,ru-ta’w=an
Example 446,ˈgæt,gæt
Example 447,ri.ˈkā’,ri-kā’
Example 448,ˈÁnn,Ánn
Example 449,i.ˈzǎk.txa,ri-zǎk=txa=a̰
Example 450,zi.ˈzo̰w,zi-za=ṵ
Example 451,ˈtxḭ̂w,tx´-æ=ṵ
Example 452,*i.ˈzǎk.txa,ri-zǎk=txa=a̰
Example 453,zi.ˈzo̰w,zi-za=ṵ
Example 454,ˈzḛw,z-æ=ṵ
Example 455,kēd.bá.ˈra.di,kēd=ba-ra=di
Example 456,ˈbedy,bedy
Example 457,bi.ˈdo’w,bi-do’w
Example 458,ba.ˈra,ba-ra
Example 459,ˈtæ̰.zá,tæ̰=zá
Example 460,ˈbedy,bedy
Example 461,bi.ˈdo’w,bi-ˈdo’w
Example 462,ri.ˈkā.zá,ri-kǎz=a̰
Example 463,gu.ˈstṵ̂.yu,gu´-stuy=u
Example 464,ˈpá.kán,pá=kán
Example 465,ˈgô̰wSV,g´-aw=ṵ
Example 466,tū.ˈgwǽ,tū=gu-æ
Example 467,ˈlæ’n,læ’n
Example 468,ˈdāyn,dāyn
Example 469,ˈnnâ̰y?,nna̰y
Example 470,xī.bá.ˈkḭ̂n,xī=ba-kḭ̂n
Example 471,ˈBǽd?,Bǽd
Example 472,gū.kén.ˈtxô’n,gǔk=ēn=tx´-ô’=un
Example 473,ˈLlwâ’?,Llwâ’
Example 474,ˈXwǽ.bēn,Xwǽb=ēn
Example 475,ˈtxô’n,tx´-ô’=un
Example 476,ˈLlwâ’,Llwâ’
Example 477,Xī.ká.ˈyṵ̂.nyu’?,xī=ká-uny=ṵ
Example 478,Xī.ká.ˈyak,xī=ká-ak
Example 479,ˈræ̌n?,ræ̌n
Example 480,Kûn.ˈBǽd,kûn=Bǽd
Example 481,ˈgú.rrǽn?,gúr=rǽn
Example 482,ˈlǎ̰nTOP,lǎ̰n
Example 483,ká.ˈllṵb,ká-llṵb
Example 484,læ.ˈnyu’,læ’n+yu’
Example 485,ˈlā̰,lā̰
Example 486,ˈBǽdTOP,Bǽd
Example 487,ká.ˈllṵb,ká-llṵb
Example 488,læ.ˈnyu’,læ’n+yu’
Example 489,ba.ˈkâ’,bakâ’
Example 490,kēd.zá.xī.gwé.ˈdxu’.di,kēd=zá=xī=gu-edxu’=di
Example 491,ˈgú.nyum,g´-uny=um
Example 492,kā.lí.ˈzǽ,kālí=z´-æ
Example 493,ˈJwáyn?,Jwáyn
Example 494,ˈyū’.pkā,yū’=pkā
Example 495,ˈbēnny,bēnny
Example 496,rú.ˈgwā̰.yīn,ru-gwa̰y=īn
Example 497,ˈræ̰̂,ræ̰
Example 498,ˈzyǽ,z´-yæ
Example 499,ˈbēnny,bēnny
Example 500,ˈzyǽ,z´-yæ
Example 501,ˈbénny,bēnny
Example 502,ˈyū’,yū’
Example 503,ní.ruyn.ˈllā.wēn,ni=r-uynllow=ēn
Example 504,ri.ˈgīn,ri-gīn
Example 505,gú.ˈbixh,gubidx
Example 506,ˈlyu,lyu
Example 507,ni.bi.ˈlyá’.kí,ni=bi-lyā’=kī
Example 508,ˈrēky,rēky
Example 509,rá.ˈdā,r-adā
Example 510,ˈnîs,nis
Example 511,ni.ra.ˈkḭ̂.nyun,ni=ra-kḭ̂ny=un
Example 512,á.ˈzyǽ,á=z´-yæ
Example 513,dbén.ˈzǐt,d´=bēnzǐt
Example 514,ba.ˈdxā̰.gá,ba-dxǎ̰g=a̰
Example 515,ngu.ˈlæ’n,ngulæ’n
Example 516,ni.ba.ˈdæ̰̂.da,ni=ba-dæ̰̂d=a̰
Example 517,ˈbǣkw.kī,bækw=kī
Example 518,ˈyū’.pkā,yū’=pkā
Example 519,ˈbēnny,bēnny
Example 520,rú.ˈgwā̰.yīn,ru-gwa̰y=īn
Example 521,ˈræ̂,ræ̰
Example 522,"ˈzu,","zu,"
Example 523,ˈgæs,gæs
Example 524,ˈyū’,yū’
Example 525,ˈsyâ̰b,syâ̰b
Example 526,ˈxhǔb,xhǔb
Example 527,ˈngâ’,ngâ’
Example 528,ˈzyǽ,z-yæ
Example 529,ˈbēnny,bēnny
Example 530,ˈzyǽ,z-yæ
Example 531,ˈdbénny,d´=bēnny
Example 532,gu.dixh.ˈlǣ’.dān,gu-dixhlæ’=dān
Example 533,ˈlâw.dán/dān,low=dán/=dān
Example 534,ˈgu’,g-u’
Example 535,te.ˈtyōp,tetyōp
Example 536,ni.gu.zút.ˈnæ̌n,ni=gu-zut=nǣ=an
Example 537,ˈbyô’n̄,b-yô’=ūn
Example 538,tékūd.ra.ˈdā,te=kūd=ra-dā
Example 539,ˈnîs,nis
Example 540,lá.ˈkwǒ’w,lá=kwā’=ṵ
Example 541,ni.gwé.dxu.ˈlâ̰.zū.kī?,ni=gu-edxulâ̰z=ṵ=kī
Example 542,ˈgu’,g-u’
Example 543,ni.gu.zút.ˈnæ̌n,ni=gu-zut=nǣ=an
Example 544,txi.ˈgú.kan,txi=gu-ak=an
Example 545,á.ba.ˈdxē.lán,á=ba-dxēl=an
Example 546,kūd.ˈtxæ̰̂n,kūd=tx´-æ=an
Example 547,nna’.ˈdxi,nna’dxi
Example 548,ˈLLúpy,LLúpy
Example 549,ba.sú.ˈtxḛ,ba-sutxḛ
Example 550,xī.byé.ˈnē.ūn,xī=bi-ēnǣ=ūn
Example 551,ˈLLúpy,LLúpy
Example 552,ba.sú.ˈtxḛ,ba-sutxḛ
Example 553,gyæ̰,gyæ̰
Example 554,ni.byé.ˈnē.ūn,ni=bi-ēnǣ=ūn
Example 555,ˈyū’tū,yū’=tū
Example 556,ri.ˈkā’n,ri-kā’=ān
Example 557,ǽs.tá,æstá
Example 558,ˈyū’,yū’
Example 559,té.ˈdxap,te=dxap
Example 560,ri.ˈkā’n,ri-kā’=ān
Example 561,ǽs.tá,æstá
Example 562,kon.ba.ˈdæ̰d.dá.nēn,kon=ba-dæ̰d=dán=ēn
Example 563,ní.tsīz.bá.ˈzûyn,ni=tsīz=ba-zuny
Example 564,ba.ˈdæ̰d.dá.nēn,ba-dæ̰d=dán=ēn
Example 565,ˈbén.tsīz,bēnny=tsīz
Example 566,ní.ba.ˈzûynrc,ni=ba-zuny
Example 567,ˈBǽd,Bǽd
Example 568,kwǽ.ˈbæ̰̂,kwǽbæ̰
Example 569,tū.ˈtxǽ,tū=tx´-æ
Example 570,ˈLLúpy,LLúpy
Example 571,ˈba.dxél,ba-dxél
Example 572,ka.lí.ná.ín,kalí=nā=īn
Example 573,ˈBǽd,Bǽd
Example 574,ba.ká.ˈbæ̰,ba-kabæ̰
Example 575,gǔk.ˈtxô’n̄,gǔk=tx´-ô’=ūn
Example 576,ˈLLúpy,LLúpy
Example 577,ru.ˈlṵy,ru-lṵy
